"collection_id"	"resource"	"collection_name"
18	"304b8d68-7f8e-11e3-bc66-f07bcb4eb64e"	"Noble Gases"
18	"304d57d8-7f8e-11e3-bc66-f07bcb4eb64e"	"Noble Gases"
18	"304ed13a-7f8e-11e3-bc66-f07bcb4eb64e"	"Noble Gases"
18	"3051d27c-7f8e-11e3-bc66-f07bcb4eb64e"	"Noble Gases"
19	"304f3e22-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"304f5862-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"304f71ee-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"304fb6fe-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"304fcd9c-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"304fe106-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"304ff5b0-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"305008d4-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"305031f6-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"30504812-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"30506ca2-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"305086ce-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
19	"3050a118-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanides"
20	"305222a4-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"30523ae6-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"30525508-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"30527056-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"30528ac8-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"3052a35a-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"3052be94-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"3052d9ba-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"30530264-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"30531d4e-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"305339a0-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"30535552-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"3053714a-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
20	"30538a72-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinides"
21	"3047ffae-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen II and III+ Nuclear Tech"
21	"3048204c-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen II and III+ Nuclear Tech"
21	"3048662e-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen II and III+ Nuclear Tech"
21	"304877d6-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen II and III+ Nuclear Tech"
21	"3048b5de-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen II and III+ Nuclear Tech"
21	"3048961c-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen II and III+ Nuclear Tech"
21	"304980b8-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen II and III+ Nuclear Tech"
21	"30493dec-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen II and III+ Nuclear Tech"
22	"3045692e-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaic and CSP Tech"
22	"3045ef84-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaic and CSP Tech"
22	"30460f1e-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaic and CSP Tech"
22	"30461de2-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaic and CSP Tech"
22	"3046b324-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaic and CSP Tech"
22	"304673e6-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaic and CSP Tech"
22	"3046938a-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaic and CSP Tech"
22	"3046b324-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaic and CSP Tech"
23	"30477bba-7f8e-11e3-bc66-f07bcb4eb64e"	"On- and Off-shore Wind Tech"
23	"30478f06-7f8e-11e3-bc66-f07bcb4eb64e"	"On- and Off-shore Wind Tech"
23	"30479f50-7f8e-11e3-bc66-f07bcb4eb64e"	"On- and Off-shore Wind Tech"
23	"3047b04e-7f8e-11e3-bc66-f07bcb4eb64e"	"On- and Off-shore Wind Tech"
24	"3049a480-7f8e-11e3-bc66-f07bcb4eb64e"	"Carbon Capture and Storage"
24	"3049b560-7f8e-11e3-bc66-f07bcb4eb64e"	"Carbon Capture and Storage"
24	"3049c460-7f8e-11e3-bc66-f07bcb4eb64e"	"Carbon Capture and Storage"
25	"3049f2aa-7f8e-11e3-bc66-f07bcb4eb64e"	"Coal + CCS"
25	"3049953a-7f8e-11e3-bc66-f07bcb4eb64e"	"Coal + CCS"
26	"304a289c-7f8e-11e3-bc66-f07bcb4eb64e"	"Natural Gas + CCS"
26	"3049953a-7f8e-11e3-bc66-f07bcb4eb64e"	"Natural Gas + CCS"
27	"304a059c-7f8e-11e3-bc66-f07bcb4eb64e"	"Oil + CCS"
27	"3049953a-7f8e-11e3-bc66-f07bcb4eb64e"	"Oil + CCS"
