"resource"	"collection"	"process"	"actor"	"obj"	"sub"	"date"	"value"	"unit"	"value_type"	"reference"	"source"	"description"
"303ad856-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.96	"MJ/kg"	"EE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30357b54-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.98	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302aeea0-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3	"MJ/kg"	"EE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3039c182-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3	"MJ/kg"	"EE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3034f648-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3.01	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303c1176-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3.02	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303ecc72-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3.03	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303088ce-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3.05	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303832fe-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3.05	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3.09	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30377652-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3.1	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"						"2015-01-01"	3.12	"%"	"%Y"	303	"Thor Lake, Canada"	
"3035cde8-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3.13	"GWP/m^2"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"305146ae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	3.18	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"						"2015-01-01"	3.19	"%"	"%Y"	303	"Thor Lake, Canada"	
