"resource"	"collection"	"process"	"actor"	"obj"	"sub"	"date"	"value"	"unit"	"value_type"	"reference"	"source"	"description"
"302c8eae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.37	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303226fc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.37	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource"	"collection"	"2030-01-01"	1.38	"%"	"D/S"	301	"World"	"Strategic Energy Technology scenario"
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.38	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"30346cbe-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.4	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"						"2014-01-01"	1.41	"%"	"%Y"	303	"Deep Sands, USA"	
"303ecc72-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.42	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303226fc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.45	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"3034f648-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.45	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"302c8eae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.46	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303b6ca8-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.49	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30384f14-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.5	"MJ/kg"	"EE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"304e488c-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource"	"collection"	"2030-01-01"	1.51	"%"	"D/S"	301	"World"	"Strategic Energy Technology scenario"
