"rid"	"name"	"description"	"short_name"
"303562b8-7f8e-11e3-bc66-f07bcb4eb64e"	"Engineering Steel"		
"303d1a08-7f8e-11e3-bc66-f07bcb4eb64e"	"Epoxide"		
"30370dfc-7f8e-11e3-bc66-f07bcb4eb64e"	"Expanded Perlite"		
"3036f286-7f8e-11e3-bc66-f07bcb4eb64e"	"Expanded Vermiculite"		
"302b4756-7f8e-11e3-bc66-f07bcb4eb64e"	"Felt"		
"303d9fc8-7f8e-11e3-bc66-f07bcb4eb64e"	"Felt Carpet"		
"303599cc-7f8e-11e3-bc66-f07bcb4eb64e"	"Fiber Cement"		
"302e8ad8-7f8e-11e3-bc66-f07bcb4eb64e"	"Fiber Composites"		
"302ea4dc-7f8e-11e3-bc66-f07bcb4eb64e"	"Fiber Composites"		
"302e6ee0-7f8e-11e3-bc66-f07bcb4eb64e"	"Fiber Materials"		
"30398afa-7f8e-11e3-bc66-f07bcb4eb64e"	"Fiberglass"		
"303f622c-7f8e-11e3-bc66-f07bcb4eb64e"	"Films"		
"303b6ca8-7f8e-11e3-bc66-f07bcb4eb64e"	"Fine Paper"		
"302b7c76-7f8e-11e3-bc66-f07bcb4eb64e"	"Flax"		
"30374218-7f8e-11e3-bc66-f07bcb4eb64e"	"Flax"		
"302b9846-7f8e-11e3-bc66-f07bcb4eb64e"	"Fly Ash"		
"3034f648-7f8e-11e3-bc66-f07bcb4eb64e"	"Galvanized Steel Coil"		
"302bb632-7f8e-11e3-bc66-f07bcb4eb64e"	"GGBS"		
"303d4c12-7f8e-11e3-bc66-f07bcb4eb64e"	"Glass-reinforced Plastic"		
"303a0e62-7f8e-11e3-bc66-f07bcb4eb64e"	"Glue Laminated"		
"303ebd9a-7f8e-11e3-bc66-f07bcb4eb64e"	"Granite"		
"302bd6d0-7f8e-11e3-bc66-f07bcb4eb64e"	"Grit"		
"303daec8-7f8e-11e3-bc66-f07bcb4eb64e"	"Ground Limestone"		
"303d8f56-7f8e-11e3-bc66-f07bcb4eb64e"	"Gypsum Plaster"		
"3038831c-7f8e-11e3-bc66-f07bcb4eb64e"	"Hardboard"		
"30333aa6-7f8e-11e3-bc66-f07bcb4eb64e"	"HDPE"		
"3036380a-7f8e-11e3-bc66-f07bcb4eb64e"	"High-Temperature Superconducters"		"HTSC"
"303a3900-7f8e-11e3-bc66-f07bcb4eb64e"	"Indium (III) Oxide"		"In2O3"
"302fd690-7f8e-11e3-bc66-f07bcb4eb64e"	"Indium (IV) Oxide"		"SnO2"
"3030ccc6-7f8e-11e3-bc66-f07bcb4eb64e"	"Indium Tin Oxide"		"ITO"
"3030dfb8-7f8e-11e3-bc66-f07bcb4eb64e"	"Indium Tin Oxide"		"ITO"
"302bef12-7f8e-11e3-bc66-f07bcb4eb64e"	"Insulation"		
"303b577c-7f8e-11e3-bc66-f07bcb4eb64e"	"Insulator"		
"3036d742-7f8e-11e3-bc66-f07bcb4eb64e"	"Laminated Veneer"		
"3034454a-7f8e-11e3-bc66-f07bcb4eb64e"	"LDPE"		
"302c0060-7f8e-11e3-bc66-f07bcb4eb64e"	"Lime"		
"30384f14-7f8e-11e3-bc66-f07bcb4eb64e"	"Limestone"		
"303cfeba-7f8e-11e3-bc66-f07bcb4eb64e"	"Limestone Bricks"		
"302c1172-7f8e-11e3-bc66-f07bcb4eb64e"	"Linoleum"		
"302f1674-7f8e-11e3-bc66-f07bcb4eb64e"	"Magnets"		
"302c20fe-7f8e-11e3-bc66-f07bcb4eb64e"	"Mandolite"		
"303be8f4-7f8e-11e3-bc66-f07bcb4eb64e"	"Marble"		
"303bd620-7f8e-11e3-bc66-f07bcb4eb64e"	"Mastic"		
"302f5076-7f8e-11e3-bc66-f07bcb4eb64e"	"Materials"	"Generic superclass for materials"	"M"
"303ce308-7f8e-11e3-bc66-f07bcb4eb64e"	"MDF"		
"303c6b26-7f8e-11e3-bc66-f07bcb4eb64e"	"Melamine"		
"302e1b3e-7f8e-11e3-bc66-f07bcb4eb64e"	"Metals"		
"303e798e-7f8e-11e3-bc66-f07bcb4eb64e"	"Mineral Wool"		
"303de0be-7f8e-11e3-bc66-f07bcb4eb64e"	"Monocrystalline Silicon"		
"30392100-7f8e-11e3-bc66-f07bcb4eb64e"	"Monocrystalline Silicon Photovoltaics"		"m-Si PV"
"302efc84-7f8e-11e3-bc66-f07bcb4eb64e"	"Monomers"		
"303d8092-7f8e-11e3-bc66-f07bcb4eb64e"	"Natural Perlite"		
"30343168-7f8e-11e3-bc66-f07bcb4eb64e"	"Natural Vermiculite"		
"30345a12-7f8e-11e3-bc66-f07bcb4eb64e"	"Neodymium Iron Boron"	"Nd2Fe14B"	"NdFeB"
"303d6fb2-7f8e-11e3-bc66-f07bcb4eb64e"	"Nylon Carpet"		
"3034161a-7f8e-11e3-bc66-f07bcb4eb64e"	"OSB"		
"303a7550-7f8e-11e3-bc66-f07bcb4eb64e"	"Oxides"		
"302c2fc2-7f8e-11e3-bc66-f07bcb4eb64e"	"Paint"		
"303954ea-7f8e-11e3-bc66-f07bcb4eb64e"	"Paper Wool"		
"303e14f8-7f8e-11e3-bc66-f07bcb4eb64e"	"Particle Board"		
"3029a810-7f8e-11e3-bc66-f07bcb4eb64e"	"Particulate Materials"		
"30323e12-7f8e-11e3-bc66-f07bcb4eb64e"	"Permanent Magnet "		"PM"
"30357b54-7f8e-11e3-bc66-f07bcb4eb64e"	"Phenol Formaldehyde"		
"303ca500-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaics"		"PV"
"3036bcb2-7f8e-11e3-bc66-f07bcb4eb64e"	"Plaster Board"		
"302c426e-7f8e-11e3-bc66-f07bcb4eb64e"	"Plastic"		
"303b830a-7f8e-11e3-bc66-f07bcb4eb64e"	"Plywood"		
"303efd78-7f8e-11e3-bc66-f07bcb4eb64e"	"Poly(3,4-ethylenedioxythiophene)"		"PEDOT"
"303f0f84-7f8e-11e3-bc66-f07bcb4eb64e"	"Poly(3,4-ethylenedioxythiophene)"		"PEDOT"
