"rid"	"name"	"short_name"
"305086ce-7f8e-11e3-bc66-f07bcb4eb64e"	"Lutetium"	"Lu"
"3050a118-7f8e-11e3-bc66-f07bcb4eb64e"	"Hafnium"	"Hf"
"3050b68a-7f8e-11e3-bc66-f07bcb4eb64e"	"Tantalum"	"Ta"
"3050c9f4-7f8e-11e3-bc66-f07bcb4eb64e"	"Tungsten"	"W"
"3050df70-7f8e-11e3-bc66-f07bcb4eb64e"	"Rhenium"	"Re"
"3050f5b4-7f8e-11e3-bc66-f07bcb4eb64e"	"Osmium"	"Os"
"30510c48-7f8e-11e3-bc66-f07bcb4eb64e"	"Iridium"	"Ir"
"30511eea-7f8e-11e3-bc66-f07bcb4eb64e"	"Platinum"	"Pt"
"30513452-7f8e-11e3-bc66-f07bcb4eb64e"	"Gold"	"Au"
"305146ae-7f8e-11e3-bc66-f07bcb4eb64e"	"Mercury"	"Hg"
"30515c66-7f8e-11e3-bc66-f07bcb4eb64e"	"Thallium"	"Tl"
"30516e9a-7f8e-11e3-bc66-f07bcb4eb64e"	"Lead"	"Pb"
"30518308-7f8e-11e3-bc66-f07bcb4eb64e"	"Bismuth"	"Bi"
"305194f6-7f8e-11e3-bc66-f07bcb4eb64e"	"Polonium"	"Po"
"3051aa68-7f8e-11e3-bc66-f07bcb4eb64e"	"Astatine"	"At"
"3051bcba-7f8e-11e3-bc66-f07bcb4eb64e"	"Radon"	"Rn"
"3051d27c-7f8e-11e3-bc66-f07bcb4eb64e"	"Francium"	"Fr"
"3051e4c4-7f8e-11e3-bc66-f07bcb4eb64e"	"Radium"	"Ra"
"3051f946-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinium"	"Ac"
"30520b34-7f8e-11e3-bc66-f07bcb4eb64e"	"Thorium"	"Th"
"305222a4-7f8e-11e3-bc66-f07bcb4eb64e"	"Protactinium"	"Pa"
"30523ae6-7f8e-11e3-bc66-f07bcb4eb64e"	"Uranium"	"U"
"30525508-7f8e-11e3-bc66-f07bcb4eb64e"	"Neptunium"	"Np"
"30527056-7f8e-11e3-bc66-f07bcb4eb64e"	"Plutonium"	"Pu"
"30528ac8-7f8e-11e3-bc66-f07bcb4eb64e"	"Americium"	"Am"
"3052a35a-7f8e-11e3-bc66-f07bcb4eb64e"	"Curium"	"Cm"
"3052be94-7f8e-11e3-bc66-f07bcb4eb64e"	"Berkelium"	"Bk"
"3052d9ba-7f8e-11e3-bc66-f07bcb4eb64e"	"Californium"	"Cf"
"30530264-7f8e-11e3-bc66-f07bcb4eb64e"	"Einsteinium"	"Es"
"30531d4e-7f8e-11e3-bc66-f07bcb4eb64e"	"Fermium"	"Fm"
"305339a0-7f8e-11e3-bc66-f07bcb4eb64e"	"Mendelevium"	"Md"
"30535552-7f8e-11e3-bc66-f07bcb4eb64e"	"Nobelium"	"No"
"3053714a-7f8e-11e3-bc66-f07bcb4eb64e"	"Lawrencium"	"Lr"
"30538a72-7f8e-11e3-bc66-f07bcb4eb64e"	"Rutherfordium"	"Rf"
"3053a78c-7f8e-11e3-bc66-f07bcb4eb64e"	"Dubnium"	"Db"
"3053c370-7f8e-11e3-bc66-f07bcb4eb64e"	"Seaborgium"	"Sg"
"3053dcd4-7f8e-11e3-bc66-f07bcb4eb64e"	"Bohrium"	"Bh"
"3053f962-7f8e-11e3-bc66-f07bcb4eb64e"	"Hassium"	"Hs"
"30541406-7f8e-11e3-bc66-f07bcb4eb64e"	"Meitnerium"	"Mt"
"30551ff4-7f8e-11e3-bc66-f07bcb4eb64e"		
"3054482c-7f8e-11e3-bc66-f07bcb4eb64e"		
"305463ac-7f8e-11e3-bc66-f07bcb4eb64e"		
"30547c8e-7f8e-11e3-bc66-f07bcb4eb64e"		
"30549886-7f8e-11e3-bc66-f07bcb4eb64e"		
"3054b35c-7f8e-11e3-bc66-f07bcb4eb64e"		
"3054cc2a-7f8e-11e3-bc66-f07bcb4eb64e"		
"3054e7e6-7f8e-11e3-bc66-f07bcb4eb64e"	"Time"	"t"
"30550334-7f8e-11e3-bc66-f07bcb4eb64e"	"Water"	"H2O"
