"cid"	"resource"
19	"305086ce-7f8e-11e3-bc66-f07bcb4eb64e"
19	"3050a118-7f8e-11e3-bc66-f07bcb4eb64e"
20	"305222a4-7f8e-11e3-bc66-f07bcb4eb64e"
20	"30523ae6-7f8e-11e3-bc66-f07bcb4eb64e"
20	"30525508-7f8e-11e3-bc66-f07bcb4eb64e"
20	"30527056-7f8e-11e3-bc66-f07bcb4eb64e"
20	"30528ac8-7f8e-11e3-bc66-f07bcb4eb64e"
20	"3052a35a-7f8e-11e3-bc66-f07bcb4eb64e"
20	"3052be94-7f8e-11e3-bc66-f07bcb4eb64e"
20	"3052d9ba-7f8e-11e3-bc66-f07bcb4eb64e"
20	"30530264-7f8e-11e3-bc66-f07bcb4eb64e"
20	"30531d4e-7f8e-11e3-bc66-f07bcb4eb64e"
20	"305339a0-7f8e-11e3-bc66-f07bcb4eb64e"
20	"30535552-7f8e-11e3-bc66-f07bcb4eb64e"
20	"3053714a-7f8e-11e3-bc66-f07bcb4eb64e"
20	"30538a72-7f8e-11e3-bc66-f07bcb4eb64e"
21	"3047ffae-7f8e-11e3-bc66-f07bcb4eb64e"
21	"3048204c-7f8e-11e3-bc66-f07bcb4eb64e"
21	"3048662e-7f8e-11e3-bc66-f07bcb4eb64e"
21	"3048b5de-7f8e-11e3-bc66-f07bcb4eb64e"
21	"3048961c-7f8e-11e3-bc66-f07bcb4eb64e"
21	"304980b8-7f8e-11e3-bc66-f07bcb4eb64e"
21	"30493dec-7f8e-11e3-bc66-f07bcb4eb64e"
22	"3045692e-7f8e-11e3-bc66-f07bcb4eb64e"
22	"30460f1e-7f8e-11e3-bc66-f07bcb4eb64e"
22	"30461de2-7f8e-11e3-bc66-f07bcb4eb64e"
22	"3046b324-7f8e-11e3-bc66-f07bcb4eb64e"
22	"304673e6-7f8e-11e3-bc66-f07bcb4eb64e"
22	"3046938a-7f8e-11e3-bc66-f07bcb4eb64e"
22	"3046b324-7f8e-11e3-bc66-f07bcb4eb64e"
