nemd.parent_resource,nemd.dependency,nemd.dependency_mult,
,,0.08,Cement
,,0.08,GGBS
,,0.1,Fly Ash
,,0.05,Cement
,,0.08,Cement
,,0.08,GGBS
,,0.1,Fly Ash
,,0.05,Cement
,,0.08,Cement
,,0.08,GGBS
,,0.1,Fly Ash
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,1,
,,1,
,,1,
,,0.59,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0.355,
,,0.39,
,,,
,,,
,,,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0.59,
,,0,
,,1,
,,0.355,
,,0.39,
,,0,
,,0,
,,0,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,0,
,,0,
,,1,
,,0,
,,0,
,,1,
,,0,
,,0,
,,1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,0.3,
,,0,
,,1,
,,0.3,
,,0,
,,1,
,,0.3,
,,0,
,,1,
