"resource"	"collection"	"process"	"actor"	"relationship"	"startdate"	"enddate"	"value"	"unit"	"valuetype"	"infotype"	"record"	"location"	"description"
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2015		1434900	"t"	"S"		303	"Thor Lake, Canada"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2015		1300000	"t"	"S"		303	"Thor Lake, Canada"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2015		1147000	"t"	"S"		303	"Thor Lake, Canada"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2015		3.19	"%"	"%Y"		303	"Thor Lake, Canada"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2015		3.12	"%"	"%Y"		303	"Thor Lake, Canada"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2015		140	"t/y"	"dE"		303	"Thor Lake, Canada"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2015		320	"t/y"	"dE"		303	"Thor Lake, Canada"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2015		548348	"t"	"S"		303	"Bear Lodge, USA"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2015		364000	"t"	"S"		303	"Bear Lodge, USA"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2015		400000	"t"	"S"		303	"Bear Lodge, USA"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2015		0.5	"%"	"%Y"		303	"Bear Lodge, USA"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2015		17.5	"t/y"	"dE"		303	"Bear Lodge, USA"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2015		22.5	"t/y"	"dE"		303	"Bear Lodge, USA"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2016		5000	"t/y"	"dE"		303	"Strange Lake, Canada"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2016		1149378	"t"	"S"		303	"Strange Lake, Canada"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2016		1335000	"t"	"S"		303	"Strange Lake, Canada"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2016		4.1	"%"	"%Y"		303	"Strange Lake, Canada"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2016		180	"t/y"	"dE"		303	"Strange Lake, Canada"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2016		220	"t/y"	"dE"		303	"Strange Lake, Canada"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2016		5000	"t/y"	"dE"		303	"Kvanefjeld, Greenland"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2016		4899400	"t"	"S"		303	"Kvanefjeld, Greenland"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2016		4890000	"t"	"S"		303	"Kvanefjeld, Greenland"	
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"					2016		4910000	"t"	"S"		303	"Kvanefjeld, Greenland"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2016		1.1	"%"	"%Y"		303	"Kvanefjeld, Greenland"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2016		50	"t/y"	"dE"		303	"Kvanefjeld, Greenland"	
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"					2016		60	"t/y"	"dE"		303	"Kvanefjeld, Greenland"	
