nep.pk	nep.name	nep.description	nep.shortname	neps.pk	nep.pparent	nep.pchild	nem.pk	nem.name	nem.description	nem.shortname	nem.mparent	nem.mchild	ner.pk	ner.name	ner.shortname	ner.rtype	necol.pk	necol.collection_id	necol.resource	necol.name	neproc.pk	neproc.name	neproc.desc	nepio.pk	nepio.process	nepio.arg_pk	nepio.arg_type
1731027	Molten salt Storage				6968748	1731027	314	Fiber Composites					46	Palladium	Pd	R		10	46	Nickel Group							
5139275	Seasonal thermal energy storage				6968748	5139275	500	Materials	Generic superclass for materials	M			47	Silver	Ag	R		11	47	Copper Group							
13195932	Solar pond				6968748	13195932	54358	Steel Plate			297	54358	48	Cadmium	Cd	R		12	48	Zinc Group							
5770919	Steam accumulator				6968748	5770919	88700	Cadmium Telluride Photovoltaics	CdTe	CdTe	472231	88700	49	Indium	In	R		13	49	Boron Group							
11423790	Thermal energy storage				6968748	11423790	88700	Cadmium Telluride Photovoltaics	CdTe	CdTe	425508	88700	50	Tin	Sn	R		14	50	Carbon Group							
8148347	Lead–acid battery		PbA		13850957	8148347	117857	Crystalline Silicon Photovoltaics		c-Si PV	439123	117857	51	Antimony	Sb	R		15	51	Pnictogens							
6211734	Alkaline battery				13850957	6211734	117857	Crystalline Silicon Photovoltaics		c-Si PV	413560	117857	52	Tellurium	Te	R		16	52	Chalcogens							
2969160	Nickel–iron battery		NiFe		13850957	2969160	138036	Steel Pipe			297	138036	53	Iodine	I	R		17	53	Halogens							
5680482	Nickel–cadmium battery		Ni-Cad		13850957	5680482	144654	Permanent Magnet 		PM			54	Xenon	Xe	R		18	54	Noble Gases							
14033148	Nickel–hydrogen battery		NiH		13850957	14033148	146269	Wallpaper			286	146269	55	Cesium	Cs	R		1	55	Alkali Metals							
9326465	Nickel–metal hydride battery		NiMH		13850957	9326465	146843	Urea Formaldehyde			294	146843	56	Barium	Ba	R		2	56	Alkaline Earth Metals							
12955549	Nickel–zinc battery				13850957	12955549	159216	DN 200			253	159216	57	Lanthanum	La	R		3	57	Scandium Group							
8135130	Lithium-air battery		Li-Air		13850957	8135130	161426	Rockwool			275	161426	58	Cerium	Ce	R		19	58	Lanthanides							
14327050	Lithium-ion battery		Li-Ion		13850957	14327050	162152	Polypropylene			289	162152	59	Praseodymium	Pr	R		19	59	Lanthanides							
6620124	Lithium-ion polymer battery		LiPo		13850957	6620124	163683	HDPE			289	163683	60	Neodymium	Nd	R		19	60	Lanthanides							
16088742	Lithium iron phosphate battery		LiFePo		13850957	16088742	164571	1:2:9 Cement:Lime:Sand			283	164571	61	Promethium	Pm	R		19	61	Lanthanides							
11551489	Lithium sulfur battery		LiS		13850957	11551489	170234	28/35MPa			254	170234	62	Samarium	Sm	R		19	62	Lanthanides							
14046583	Lithium–titanate battery				13850957	14046583	176864	1:1:6 Cement:Lime:Sand			283	176864	63	Europium	Eu	R		19	63	Lanthanides							
9112852	Sodium-ion battery		Na-Ion		13850957	9112852	181274	20/25MPa			254	181274	64	Gadolinium	Gd	R		19	64	Lanthanides							
10601918	Thin film lithium battery				13850957	10601918	182567	Polyurethane			289	182567	65	Terbium	Tb	R		19	65	Lanthanides							
11587190	Zinc bromide battery				13850957	11587190	185431	OSB			258	185431	66	Dysprosium	Dy	R		19	66	Lanthanides							
7865108	Vanadium redox battery				13850957	7865108	188262	Natural Vermiculite			303	188262	67	Holmium	Ho	R		19	67	Lanthanides							
2569187	Sodium-sulfur battery		NaS		13850957	2569187	188373	LDPE			289	188373	68	Erbium	Er	R		19	68	Lanthanides							
3942474	Molten salt battery				13850957	3942474	190870	Steel Rod			297	190870	69	Thulium	Tm	R		19	69	Lanthanides							
9898879	Silver-oxide battery				13850957	9898879	195046	Polycarbonate			289	195046	70	Ytterbium	Yb	R		19	70	Lanthanides							
1401754	Bromine-hydrogen flow battery				3259907	1401754	196716	Saturated Felt Carpet Underlay			249	196716	71	Lutetium	Lu	R		19	71	Lanthanides							
13357689	Iron-tin flow battery				3259907	13357689	201058	Slate			298	201058	72	Hafnium	Hf	R		4	72	Titanium Group							
4456098	Iron-titanium flow battery				3259907	4456098	202186	Rolled Aluminum			133	202186	73	Tantalum	Ta	R		5	73	Vanadium Group							
16049522	Iron-chrome flow battery				3259907	16049522	202312	1:4 Cement:Sand			283	202312	74	Tungsten	W	R		6	74	Chromium Group							
15296068	Vanadium-vanadium (sulphate)  flow battery				3259907	15296068	203427	Galvanized Steel Coil			297	203427	75	Rhenium	Re	R		7	75	Manganese Group							
1341901	Vanadium-vanadium (bromide) flow battery				3259907	1341901	204812	Waterborne Paint			285	204812	76	Osmium	Os	R		8	76	Iron Group							
13802979	Sodium/bromine polysulfide flow battery				3259907	13802979	206265	16/20MPa			254	206265	77	Iridium	Ir	R		9	77	Cobalt Group							
11587190	Zinc bromide battery flow battery				3259907	11587190	208200	Ceramic			252	208200	78	Platinum	Pt	R		10	78	Alkali Metals0							
6021740	Lead-acid (methanesulfonate) flow battery				3259907	6021740	208222	Engineering Steel			297	208222	79	Gold	Au	R		11	79	Copper Group							
2020874	Zinc-cerium (methanesulfonate) flow battery				3259907	2020874	209999	Phenol Formaldehyde			294	209999	80	Mercury	Hg	R		12	80	Zinc Group							
11526004	Photovoltaics	Products that generate electricity from solar energy	PV		1106725	11526004	214175	Fiber Cement			251	214175	81	Thallium	Tl	R		13	81	Boron Group							
3880921	Solar Thermal Products	Products that generate thermal energy from solar energy			1106725	3880921	214852	DN 300			253	214852	82	Lead	Pb	R		14	82	Carbon Group							
14061725	Solar Concentrators	Products that concentrate solar energy			524292	14061725	216106	Solventborne Paint			285	216106	83	Bismuth	Bi	R		15	83	Pnictogens							
13383714	Concentrated Solar Thermal	Products that concentrate solar energy to generate thermal energy	CSP		14061725	13383714	216758	1:0.5:4.5 Cement:Lime:Sand			283	216758	84	Polonium	Po	R		16	84	Chalcogens							
9937630	Concentrated Photovoltaics	Products that concentrate solar energy to generate electricity	CSPV		14061725	9937630	216996	Copper Zinc Tin Sulfide Photovoltaics	Cu2ZnSnS4	CZTS	472231	216996	85	Astatine	At	R		17	85	Halogens							
13383714	Concentrated Solar Thermal	Products that concentrate solar energy to generate thermal energy	CSP		3880921	13383714	216996	Copper Zinc Tin Sulfide Photovoltaics	Cu2ZnSnS4	CZTS	425508	216996	86	Radon	Rn	R		18	86	Noble Gases							
9937630	Concentrated Photovoltaics	Products that concentrate solar energy to generate electricity	CSPV		11526004	9937630	219421	High-Temperature Superconducters		HTSC			87	Francium	Fr	R		1	87	Alkali Metals							
8402627	Wafer Photovoltaics				11526004	8402627	221640	Stabilized			296	221640	88	Radium	Ra	R		2	88	Alkaline Earth Metals							
2598642	Silicon Photovoltaics	Products that use doped silicon to generate solar electricity	Si-PV		8402627	2598642	229668	1:5 Cement:Sand			283	229668	89	Actinium	Ac	R		3	89	Scandium Group							
17109936	Crystalline Silicon Photovoltaics		c-Si PV		2598642	17109936	233218	Carpet			250	233218	90	Thorium	Th	R		20	90	Actinides							
14080702	Monocrystalline Silicon Photovoltaics	"""Monocrystalline silicon is a form in which the crystal structure is homogenous throughout the material, the orientation, lattice parameter, and electronic properties are constant throughout the material."""	m-Si PV		282	14080702	233218	Carpet			273	233218	91	Protactinium	Pa	R		20	91	Actinides							
14574066	Polycrystalline Silicon Photovoltaics	"""Polycrystalline silicon is composed of many smaller silicon grains of varied crystallographic orientation. This material can be synthesized easily by allowing liquid silicon to cool using a seed crystal of the desired crystal structure. Additionally, other methods for crystallizing amorphous silicon to form polysilicon exist such as high temperature chemical vapor deposition (CVD)."""	p-Si PV		290	14574066	233375	Plaster Board			288	233375	92	Uranium	U	R		20	92	Actinides							
14080702	Monocrystalline Silicon Photovoltaics	"""Monocrystalline silicon is a form in which the crystal structure is homogenous throughout the material, the orientation, lattice parameter, and electronic properties are constant throughout the material."""	m-Si PV		17109936	14080702	237673	Laminated Veneer			279	237673	93	Neptunium	Np	R		20	93	Actinides							
14574066	Polycrystalline Silicon Photovoltaics	"""Polycrystalline silicon is composed of many smaller silicon grains of varied crystallographic orientation. This material can be synthesized easily by allowing liquid silicon to cool using a seed crystal of the desired crystal structure. Additionally, other methods for crystallizing amorphous silicon to form polysilicon exist such as high temperature chemical vapor deposition (CVD)."""	p-Si PV		17109936	14574066	248586	Expanded Vermiculite			303	248586	94	Plutonium	Pu	R		20	94	Actinides							
3080952	Thin Film Products		TF				249614	Expanded Perlite			287	249614	95	Americium	Am	R		20	95	Actinides							
14126298	Thin Film Photovoltaics		TF PV		3080952	14126298	255747	DN 150			253	255747	96	Curium	Cm	R		20	96	Actinides							
14126298	Thin Film Photovoltaics		TF PV		3880921	14126298	256169	Flax			275	256169	97	Berkelium	Bk	R		20	97	Actinides							
2603843	Amorphous Silicon Photovoltaics	Amorphous silicon has no long-range periodic order. The application of amorphous silicon to photovoltaics as a standalone material is somewhat limited by its inferior electronic properties.	a-Si PV		2598642	2603843	257992	Primary Glass			271	257992	98	Californium	Cf	R		20	98	Actinides							
2603843	Amorphous Silicon Photovoltaics	Amorphous silicon has no long-range periodic order. The application of amorphous silicon to photovoltaics as a standalone material is somewhat limited by its inferior electronic properties.	a-Si PV		14126298	2603843	259486	PVC			289	259486	99	Einsteinium	Es	R		20	99	Actinides							
14729412	Cadmium Telluride Photovoltaics	CdTe	CdTe PV		14126298	14729412	259486	PVC			289	259486	100	Fermium	Fm	R		20	100	Actinides							
5675499	Copper Indium Gallium Selenide Photovoltaics	CuInxGa(1-x)Se2	CIGS PV		14126298	5675499	261153	1:3 Cement:Sand			283	261153	101	Mendelevium	Md	R		20	101	Actinides							
16764751	Parabolic Mirror						267450	Wool			275	267450	102	Nobelium	No	R		20	102	Actinides							
13849743	Parabolic Trough Photovoltaics		PT PV		9937630	8316745	278722	ABS			289	278722	103	Lawrencium	Lr	R		20	103	Actinides							
7490462	Parabolic Trough Solar Thermal		PT SP		13383714	7490462	281546	Limestone			298	281546	104	Rutherfordium	Rf	R		4	104	Titanium Group							
7503686	Power Tower Solar Thermal				13383714	7503686	286270	Calcium Silicate				286270	105	Dubnium	Db	R		5	105	Vanadium Group							
15160812	Power Tower Photovoltaics				9937630	15160812	287224	Hardboard			258	287224	106	Seaborgium	Sg	R		6	106	Chromium Group							
9867502	Parabolic Dish Solar Thermal		PD SP		13383714	9867502	288628	Polycrystalline Silicon			290	288628	107	Bohrium	Bh	R		7	107	Manganese Group							
1193928	Parabolic Dish Photovoltaics		PD PV		9937630	1193928	290437	Conductor			500	290437	108	Hassium	Hs	R		8	108	Iron Group							
13933873	Fresnel Trough Solar Thermal				13383714	13933873	291150	1:6 Cement:Sand			283	291150	109	Meitnerium	Mt	R		9	109	Cobalt Group							
8316745	Fresnel Trough Photovoltaics				9937630	8316745	291356	Bronze			247	291356						21	15003521	Gen II and III+ Nuclear Tech							
3716928	Luminescent Solar Concentrators	Solar concentrators that absorb light and re-emit it in a different spectrum	LSC		14061725	3716928	295010	Quartz Powder			291	295010						21	13263311	Gen II and III+ Nuclear Tech							
4884586	Dye-Sensitized Photovoltaics	"""Dye-sensitized solar cells separate the two functions provided by silicon in a traditional cell design. Normally the silicon acts as both the source of photoelectrons, as well as providing the electric field to separate the charges and create a current. In the dye-sensitized solar cell,  the bulk of the semiconductor is used solely for charge transport, the photoelectrons are provided from a separate photosensitive dye. Charge separation occurs at the surfaces between the dye, semiconductor and electrolyte."""	DSSC				296631	Monocrystalline Silicon Photovoltaics		m-Si PV	117857	296631						21	17286303	Gen II and III+ Nuclear Tech							
6704403	Gallium Arsenide Germanium Photovoltaics		GAPV		14126298		297206	Polyurethane Carpet			249	297206						21	12874547	Gen II and III+ Nuclear Tech							
1281710	Plasmonic Photovoltaics	"""Plasmonic solar cells (PSC) are a class of photovoltaic devices that convert light into electricity by using plasmons. PSCs are a type of thin-film SC which are typically 1-2μm thick. They can use substrates which are cheaper than silicon"	PPV		14126298		301776	Paper Wool			275	301776						21	11469808	Gen II and III+ Nuclear Tech							
13332018	Quantum Dot Photovoltaics						303924	DN 100			253	303924						21	13733874	Gen II and III+ Nuclear Tech							
16646484	Solar Cell						307986	Fiberglass			271	307986						21	11475319	Gen II and III+ Nuclear Tech							
2946425	Polymer Solar Cell				9629604	13162262	315756	Polypropylene Carpet			249	315756						21	14942655	Gen II and III+ Nuclear Tech							
2187849	Multijunction Solar Cell				4426138	6472266	322119	CEM III			251	322119						22	17109936	Photovoltaic and CSP Tech							
524296	Wind Energy						326916	Shale			298	326916						22	2603843	Photovoltaic and CSP Tech							
524297	Mechanical Energy						330371	Polyethylterephtalate Carpet			249	330371						22	14729412	Photovoltaic and CSP Tech							
