"pk"	"name"	"description"	"short_name"
"3043f01c-7f8e-11e3-bc66-f07bcb4eb64e"	"Vanadium redox battery"		
"3043ff62-7f8e-11e3-bc66-f07bcb4eb64e"	"Sodium-sulfur battery"		"NaS"
"30441042-7f8e-11e3-bc66-f07bcb4eb64e"	"Molten salt battery"		
"30441f24-7f8e-11e3-bc66-f07bcb4eb64e"	"Silver-oxide battery"		
"30442f8c-7f8e-11e3-bc66-f07bcb4eb64e"	"Bromine-hydrogen flow battery"		
"30443eb4-7f8e-11e3-bc66-f07bcb4eb64e"	"Iron-tin flow battery"		
"30444d50-7f8e-11e3-bc66-f07bcb4eb64e"	"Iron-titanium flow battery"		
"30446272-7f8e-11e3-bc66-f07bcb4eb64e"	"Iron-chrome flow battery"		
"304472b2-7f8e-11e3-bc66-f07bcb4eb64e"	"Vanadium-vanadium (sulphate)  flow battery"		
"304485f4-7f8e-11e3-bc66-f07bcb4eb64e"	"Vanadium-vanadium (bromide) flow battery"		
"30449620-7f8e-11e3-bc66-f07bcb4eb64e"	"Sodium/bromine polysulfide flow battery"		
"3044a6ce-7f8e-11e3-bc66-f07bcb4eb64e"	"Zinc bromide battery flow battery"		
"3044b614-7f8e-11e3-bc66-f07bcb4eb64e"	"Lead-acid (methanesulfonate) flow battery"		
"3044c4c4-7f8e-11e3-bc66-f07bcb4eb64e"	"Zinc-cerium (methanesulfonate) flow battery"		
"3044d572-7f8e-11e3-bc66-f07bcb4eb64e"	"Photovoltaics"	"Products that generate electricity from solar energy"	"PV"
"3044e422-7f8e-11e3-bc66-f07bcb4eb64e"	"Solar Thermal Products"	"Products that generate thermal energy from solar energy"	
"3044f6ce-7f8e-11e3-bc66-f07bcb4eb64e"	"Solar Concentrators"	"Products that concentrate solar energy"	
"30450722-7f8e-11e3-bc66-f07bcb4eb64e"	"Concentrated Solar Thermal"	"Products that concentrate solar energy to generate thermal energy"	"CSP"
"30451960-7f8e-11e3-bc66-f07bcb4eb64e"	"Concentrated Photovoltaics"	"Products that concentrate solar energy to generate electricity"	"CSPV"
"30452a40-7f8e-11e3-bc66-f07bcb4eb64e"	"Concentrated Solar Thermal"	"Products that concentrate solar energy to generate thermal energy"	"CSP"
"30453954-7f8e-11e3-bc66-f07bcb4eb64e"	"Concentrated Photovoltaics"	"Products that concentrate solar energy to generate electricity"	"CSPV"
"30454a3e-7f8e-11e3-bc66-f07bcb4eb64e"	"Wafer Photovoltaics"		
"304558ee-7f8e-11e3-bc66-f07bcb4eb64e"	"Silicon Photovoltaics"	"Products that use doped silicon to generate solar electricity"	"Si-PV"
"3045692e-7f8e-11e3-bc66-f07bcb4eb64e"	"Crystalline Silicon Photovoltaics"		"c-Si PV"
"3045781a-7f8e-11e3-bc66-f07bcb4eb64e"	"Monocrystalline Silicon Photovoltaics"	"""Monocrystalline silicon is a form in which the crystal structure is homogenous throughout the material, the orientation, lattice parameter, and electronic properties are constant throughout the material."""	"m-Si PV"
