"nesi.pk"	"nesi.resource"	"nesi.valuetype"	"nesi.value"	"nesi.unit"	"nesi.location"	"nesi.with_property"	"nesi.reference"	"nesi.infotype"
122	251	"EC"	0.73	"kgCO_2/kg"				
123	251	"ECe"	0.74	"kgCO_2e/kg"				
124	252	"EC"	0.66	"kgCO_2/kg"				
125	252	"ECe"	0.7	"kgCO_2e/kg"				
126	252	"EE"	10	"MJ/kg"				
127	253	"EE"	3	"MJ/kg"				
128	253	"EC"	0.23	"kgCO_2/kg"				
129	253	"ECe"	0.24	"kgCO_2e/kg"				
130	254	"EE"	0.75	"MJ/kg"				
131	254	"EC"	0.1	"kgCO_2/kg"				
132	254	"ECe"	0.107	"kgCO_2e/kg"				
133	256	"EE"	134	"MJ/kg"				
134	256	"EC"	4.2	"kgCO_2/kg"				
135	256	"ECe"		"kgCO_2e/kg"				
136	257	"EE"	36	"MJ/kg"			94	
137	257	"EC"		"kgCO_2/kg"			94	
138	257	"ECe"		"kgCO_2e/kg"			94	
139	259	"EE"	33.5	"MJ/kg"			2	
140	259	"EC"	1.7	"kgCO_2/kg"			2	
141	259	"ECe"		"kgCO_2e/kg"			2	
142	260	"EE"	0.1	"MJ/kg"				
143	260	"EC"	0.008	"kgCO_2/kg"				
144	260	"ECe"		"kgCO_2e/kg"				
145	270	"EE"	1.6	"MJ/kg"				
146	270	"EC"	0.083	"kgCO_2/kg"				
147	270	"ECe"		"kgCO_2e/kg"				
148	272	"EE"	0.12	"MJ/kg"			114	
149	272	"EC"	0.01	"kgCO_2/kg"			114	
150	272	"ECe"		"kgCO_2e/kg"			114	
151	275	"EE"	45	"MJ/kg"				
152	275	"EC"	1.86	"kgCO_2/kg"				
153	275	"ECe"		"kgCO_2e/kg"				
154	276	"EE"	5.3	"MJ/kg"				
155	276	"EC"	0.76	"kgCO_2/kg"				
156	276	"ECe"	0.78	"kgCO_2e/kg"				
157	278	"EE"	25	"MJ/kg"				
158	278	"EC"	1.21	"kgCO_2/kg"				
159	278	"ECe"		"kgCO_2e/kg"				
160	280	"EE"	853	"MJ/kg"			1	
161	280	"EC"	5.3	"kgCO_2/kg"			1	
162	280	"ECe"		"kgCO_2e/kg"			1	
163	285	"EE"	70	"MJ/m^2"				
164	285	"EE"	10.5	"MJ/m^2"				
165	285	"EE"	21	"MJ/m^2"				
166	285	"EE"	31.5	"MJ/m^2"				
167	285	"EE"	59	"MJ/m^2"				
168	285	"EE"	97	"MJ/m^2"				
169	285	"EC"	2.42	"GWP/m^2"				
170	285	"EC"	0.36	"GWP/m^2"				
171	285	"EC"	0.73	"GWP/m^2"				
172	285	"EC"	1.09	"GWP/m^2"				
173	285	"ECe"	2.91	"kgCO_2e/kg"				
174	285	"ECe"	0.44	"kgCO_2e/kg"				
175	285	"ECe"	0.87	"kgCO_2e/kg"				
176	285	"ECe"	1.31	"kgCO_2e/kg"				
177	289	"EE"	80.5	"MJ/kg"				
178	289	"EC"	2.73	"kgCO_2/kg"				
179	289	"ECe"	3.31	"kgCO_2e/kg"				
180	289	"FE"	35.6	"MJ/kg"				
181	292	"EE"	91	"MJ/kg"				
