"nesi.pk"	"nesi.resource"	"nesi.valuetype"	"nesi.value"	"nesi.unit"	"nesi.location"	"nesi.with_property"	"nesi.reference"	"nesi.infotype"
495	353009	"EC"	0.64	"kgCO_2/kg"				
496	353009	"EC"	0.37	"kgCO_2/kg"				
497	353009	"EC"	0.25	"kgCO_2/kg"				
498	353009	"ECe"	0.89	"kgCO_2e/kg"				
499	353009	"ECe"	0.76	"kgCO_2e/kg"				
500	353009	"ECe"	0.75	"kgCO_2e/kg"				
501	353009	"ECe"	0.62	"kgCO_2e/kg"				
502	353009	"ECe"	0.77	"kgCO_2e/kg"				
503	353009	"ECe"	0.65	"kgCO_2e/kg"				
504	353009	"ECe"	0.38	"kgCO_2e/kg"				
505	353009	"ECe"	0.26	"kgCO_2e/kg"				
506	357020	"EE"	2355	"MJ/kg"			167	
507	357020	"EC"		"kgCO_2/kg"			167	
508	357020	"ECe"		"kgCO_2e/kg"			167	
509	360511	"EE"	28.2	"MJ/kg"				
510	360511	"EC"	1.49	"kgCO_2/kg"				
511	360511	"ECe"		"kgCO_2e/kg"				
512	361309	"EE"	7.1	"MJ_{bio}"				
513	361309	"EC"	0.42	"KgCO_{2"	"fossil}/kg"			
514	361309	"EC"	0.65	"kgCO_{2"	"bio}/kg"			
515	361309	"ECe"	0.45	"KgCO_{2e"	"fossil}/kg"			
516	361309	"ECe"	0.65	"KgCO_{2e"	"fossil}/kg"			
517	361309	"EE"	15	"MJ_{fossil}/kg"				
518	361665	"EE"	106	"MJ/kg"				
519	361665	"EC"	5.53	"kgCO_2/kg"				
520	361665	"ECe"		"kgCO_2e/kg"				
521	361893	"EC"	5.47	"kgCO_2/kg"				
522	361893	"EC"	138.6	"kgCO_2/kg"				
523	361893	"ECe"	9.14	"kgCO_2e/kg"				
524	361893	"ECe"	6.54	"kgCO_2e/kg"				
525	361893	"FE"	50.7	"MJ/kg"				
526	361893	"FE"	7.92	"MJ/kg"				
527	361893	"EE"	120.5	"MJ/kg"				
528	361893	"EE"		"MJ/kg"				
529	365340	"EE"	62	"MJ/kg"				
530	365340	"EE"	200	"MJ/kg"				
531	365340	"EC"		"kgCO_2/kg"				
532	365340	"EC"		"kgCO_2/kg"				
533	365340	"ECe"		"kgCO_2e/kg"				
534	365340	"ECe"		"kgCO_2e/kg"				
535	365340	"FE"		"MJ/kg"				
536	365340	"FE"		"MJ/kg"				
537	365479	"EE"	2	"MJ/kg"				
538	365479	"EC"	0.116	"kgCO_2/kg"				
539	365479	"ECe"	0.13	"kgCO_2e/kg"				
540	365711	"EE"	23.5	"MJ/kg"				
541	365711	"EC"	1.27	"kgCO_2/kg"				
542	365711	"ECe"	1.35	"kgCO_2e/kg"				
543	366277	"EE"	36	"MJ/kg"	"European Union"			
544	366277	"EC"	2.83	"kgCO_2/kg"	"European Union"			
545	366277	"ECe"	3.02	"kgCO2e/kg"	"European Union"			
546	371120	"EE"	6.3	"MJ_{bio}"			88	
547	371120	"EC"	0.23	"KgCO_{2"	"fossil}/kg"		88	
548	371120	"EC"	0.63	"kgCO_{2"	"bio}/kg"		88	
549	371120	"ECe"	0.24	"KgCO_{2e"	"fossil}/kg"		88	
550	371120	"ECe"	0.63	"KgCO_{2e"	"fossil}/kg"		88	
551	371120	"EE"	10.4	"MJ_{fossil}/kg"			88	
552	371120	"EE"	7.4	"MJ_{fossil}/kg"				
553	371120	"EE"	4.2	"MJ_{bio}"				
554	371120	"EC"	0.19	"KgCO_{2"	"fossil}/kg"			
555	371120	"EC"	0.39	"kgCO_{2"	"bio}/kg"			
556	371120	"ECe"	0.2	"KgCO_{2e"	"fossil}/kg"			
557	371120	"ECe"	0.39	"KgCO_{2e"	"fossil}/kg"			
558	371927	"EE"	97	"MJ/kg"				
559	371927	"EC"	4.19	"kgCO_2/kg"				
560	371927	"ECe"		"kgCO_2e/kg"				
561	371927	"FE"	18	"MJ/kg"				
562	377047	"EE"	18.8	"MJ/kg"	"European Union"			
563	377047	"EE"	32.8	"MJ/kg"	"European Union"			
564	377047	"EE"	29.2	"MJ/kg"	"European Union"			
565	377047	"EE"	24.4	"MJ/kg"	"Non-EU"			
566	377047	"EE"	23.5	"MJ/kg"	"World"			
567	377047	"EC"	1.3	"kgCO_2/kg"	"European Union"			
568	377047	"EC"	2.58	"kgCO_2/kg"	"European Union"			
569	377047	"EC"	2.59	"kgCO_2/kg"	"European Union"			
570	377047	"EC"	1.81	"kgCO_2/kg"	"Non-EU"			
571	377047	"EC"	1.74	"kgCO_2/kg"	"World"			
572	377047	"ECe"	1.38	"kgCO2e/kg"	"European Union"			
573	377047	"ECe"	2.74	"kgCO2e/kg"	"European Union"			
574	377047	"ECe"	2.77	"kgCO2e/kg"	"European Union"			
575	377047	"ECe"	1.92	"kgCO2e/kg"	"Non-EU"			
576	377047	"ECe"	1.85	"kgCO2e/kg"	"World"			
577	377996	"EE"	3.8	"MJ_{bio}"				
578	377996	"EC"	0.37	"KgCO_{2"	"fossil}/kg"			
579	377996	"EC"	0.35	"kgCO_{2"	"bio}/kg"			
580	377996	"ECe"	0.39	"KgCO_{2e"	"fossil}/kg"			
581	377996	"ECe"	0.35	"KgCO_{2e"	"fossil}/kg"			
582	377996	"EE"	11	"MJ_{fossil}/kg"				
583	380935	"EE"	0.85	"MJ/kg"				
584	380935	"EC"		"kgCO_2/kg"				
585	380935	"ECe"		"kgCO_2e/kg"				
586	381684	"EE"	137	"MJ/kg"				
587	381684	"EC"	5.7	"kgCO_2/kg"				
588	381684	"ECe"		"kgCO_2e/kg"				
589	381684	"FE"	42.6	"MJ/kg"				
590	384456	"EE"	42	"MJ/kg"	"World"			
591	384456	"EE"	57	"MJ/kg"	"World"			
592	384456	"EE"	16.5	"MJ/kg"	"World"			
593	384456	"EC"	2.6	"kgCO_2/kg"	"World"			
594	384456	"EC"	3.65	"kgCO_2/kg"	"World"			
595	384456	"EC"	0.8	"kgCO_2/kg"	"World"			
596	384456	"ECe"	2.71	"kgCO2e/kg"	"World"			
597	384456	"ECe"	3.81	"kgCO2e/kg"	"World"			
598	384456	"ECe"	0.84	"kgCO2e/kg"	"World"			
599	388379	"EE"	100	"MJ/kg"			1	
600	388379	"EC"	8.1	"kgCO_2/kg"			1	
601	388379	"ECe"		"kgCO_2e/kg"			1	
602	388814	"EE"	103.75	"MJ/kg"				
603	388814	"EC"	5.545	"kgCO_2/kg"				
604	388814	"ECe"		"kgCO_2e/kg"				
605	393793	"EE"	3.93	"MJ/kg"				
606	393793	"EE"	4.46	"MJ/kg"				
607	393793	"EE"	5	"MJ/kg"				
608	393793	"EE"	277	"MJ/m^2"			277	
609	393793	"EE"	327	"MJ/m^2"			277	
610	393793	"ECe"		"kgCO_2e/kg"			279	
611	393793	"ECe"		"kgCO_2e/kg"			279	
612	393793	"EE"	5.5	"MJ/kg"				
613	393793	"EE"	5.28	"MJ/kg"				
614	393793	"EE"	0.66	"MJ/kg"			114	
615	393793	"EC"	0.03	"kgCO_2/kg"			114	
616	393793	"ECe"		"kgCO_2e/kg"			114	
617	405537	"EE"	3.39	"MJ/kg"				
618	405537	"EE"	19	"MJ/m^2"				
619	405537	"ECe"		"kgCO_2e/kg"				
620	409043	"EE"	0.62	"MJ/kg"			188	
621	409043	"EC"	0.032	"kgCO_2/kg"			188	
622	409043	"ECe"		"kgCO_2e/kg"			188	
623	409179	"EE"	56.7	"MJ/kg"	"European Union"			
624	409179	"EC"	6.15	"kgCO_2/kg"	"European Union"			
625	409179	"ECe"		"kgCO2e/kg"	"European Union"			
626	409588	"EC"	0.93	"kgCO_2/kg"			59	
627	409588	"ECe"	0.95	"kgCO_2e/kg"			59	
628	415512	"EE"	0.88	"MJ/kg"				
629	415512	"EC"	0.123	"kgCO_2/kg"				
630	415512	"ECe"	0.132	"kgCO_2e/kg"				
631	415859	"EE"	3.2	"MJ_{bio}"				
632	415859	"EC"	0.52	"KgCO_{2"	"fossil}/kg"			
633	415859	"EC"	0.32	"kgCO_{2"	"bio}/kg"			
634	415859	"ECe"	0.54	"KgCO_{2e"	"fossil}/kg"			
635	415859	"ECe"	0.32	"KgCO_{2e"	"fossil}/kg"			
636	415859	"EE"	14.5	"MJ_{fossil}/kg"				
637	415984	"EE"	1	"MJ/kg"				
638	415984	"EC"	0.141	"kgCO_2/kg"				
639	415984	"ECe"	0.151	"kgCO_2e/kg"				
640	423324	"EE"	1	"MJ/kg"			262	
641	423324	"EC"	0.058	"kgCO_2/kg"			262	
642	423324	"ECe"	0.06	"kgCO_2e/kg"			262	
643	425476	"EE"	1.8	"MJ/kg"				
644	425476	"EC"	0.12	"kgCO_2/kg"				
645	425476	"ECe"	0.13	"kgCO_2e/kg"				
646	428735	"EE"	16.6	"MJ/kg"				
647	428735	"EC"	1.2	"kgCO_2/kg"				
648	428735	"ECe"	1.28	"kgCO_2e/kg"				
649	429466	"EE"	0.78	"MJ/kg"				
650	429466	"EC"	0.106	"kgCO_2/kg"				
651	429466	"ECe"	0.113	"kgCO_2e/kg"				
652	430859	"EE"	11.5	"MJ/kg"			115	
653	430859	"EC"	0.55	"kgCO_2/kg"				
654	430859	"ECe"	0.59	"kgCO_2e/kg"				
655	432499	"EE"	11	"MJ/kg"			116	
656	432499	"EC"	0.64	"kgCO_2/kg"			116	
657	432499	"ECe"	0.7	"kgCO_2e/kg"			116	
658	436672	"EE"	21.5	"MJ/kg"	"European Union"			
659	436672	"EE"	38	"MJ/kg"	"European Union"			
660	436672	"EE"	10	"MJ/kg"	"European Union"			
661	436672	"EE"	28.1	"MJ/kg"	"Non-EU"			
662	436672	"EE"	27.1	"MJ/kg"	"World"			
663	436672	"EC"	1.42	"kgCO_2/kg"	"European Union"			
664	436672	"EC"	2.82	"kgCO_2/kg"	"European Union"			
665	436672	"EC"	0.44	"kgCO_2/kg"	"European Union"			
666	436672	"EC"	1.97	"kgCO_2/kg"	"Non-EU"			
667	436672	"EC"	1.89	"kgCO_2/kg"	"World"			
668	436672	"ECe"	1.53	"kgCO2e/kg"	"European Union"			
669	436672	"ECe"	3.03	"kgCO2e/kg"	"European Union"			
670	436672	"ECe"	0.47	"kgCO2e/kg"	"European Union"			
671	436672	"ECe"	2.12	"kgCO2e/kg"	"Non-EU"			
672	436672	"ECe"	2.03	"kgCO2e/kg"	"World"			
673	876566	"EE"	67.5	"MJ/kg"				
674	876566	"EC"	2.56	"kgCO_2/kg"				
675	876566	"ECe"	3.23	"kgCO_2e/kg"				
676	876566	"FE"		"MJ/kg"				
677	1460412	"EE"	178	"MJ/m^2"		1		
678	1460412	"EE"	229	"MJ/m^2"		2		
679	1460412	"EE"	279	"MJ/m^2"		3		
680	1460412	"EE"	328	"MJ/m^2"		4		
681	1460412	"EE"	378	"MJ/m^2"		5		
682	1892849	"EE"	6.2	"MJ/kg"				
683	1892849	"EC"	0.44	"kgCO_2/kg"				
684	1892849	"ECe"	0.46	"kgCO_2e/kg"				
685	2696477	"EE"	1.09	"MJ/kg"				
686	2696477	"EE"	128	"MJ/kg"				
687	2696477	"EC"		"kgCO_2/kg"				
688	2696477	"EC"		"kgCO_2/kg"				
689	2696477	"ECe"		"kgCO_2e/kg"				
690	2696477	"ECe"		"kgCO_2e/kg"				
691	2820901	"EE"	27.1	"MJ/kg"			38	
692	2820901	"EC"	1.28	"kgCO_2/kg"			38	
693	2820901	"ECe"		"kgCO_2e/kg"			38	
694	3864477	"EE"	99.2	"MJ/kg"				
695	3864477	"EC"	2.97	"kgCO_2/kg"				
696	3864477	"ECe"	3.43	"kgCO_2e/kg"				
697	3864477	"FE"	55.7	"MJ/kg"				
698	4050355	"ECe"		"kgCO_2e/kg"		1		
699	4050355	"ECe"		"kgCO_2e/kg"		2		
700	4050355	"ECe"		"kgCO_2e/kg"		3		
701	4050355	"ECe"		"kgCO_2e/kg"		4		
702	4050355	"ECe"		"kgCO_2e/kg"		5		
703	4050355	"EE"	4.51	"MJ/kg"				
704	4050355	"EE"	4.45	"MJ/kg"				
705	4050355	"EE"	3.68	"MJ/kg"				
706	4050355	"EE"	4.77	"MJ/kg"				
707	4050355	"EE"	4.21	"MJ/kg"				
708	4162208	"EE"	6.5	"MJ/kg"				
709	4162208	"ECe"	0.48	"kgCO_2e/kg"				
710	4162208	"EC"	0.45	"kgCO_2/kg"				
711	4379303	"EE"	20	"MJ/kg"			1	
712	4470251	"EE"	109.2	"MJ/kg"				
713	4470251	"EC"	3.45	"kgCO_2/kg"				
714	4470251	"ECe"	4.39	"kgCO_2e/kg"				
715	4470251	"FE"	49.7	"MJ/kg"				
716	4793869	"EE"	84.4	"MJ/kg"				
717	4793869	"EC"	2.02	"kgCO_2/kg"				
718	4793869	"ECe"	2.52	"kgCO_2e/kg"				
719	4793869	"FE"	55.1	"MJ/kg"				
720	5047397	"EE"	88.6	"MJ/kg"				
721	5047397	"EC"	2.55	"kgCO_2/kg"				
722	5047397	"ECe"	3.29	"kgCO_2e/kg"				
723	5047397	"FE"	46.2	"MJ/kg"				
724	5075913	"EE"	68.6	"MJ/kg"				
725	5075913	"EC"	2.61	"kgCO_2/kg"				
726	5075913	"ECe"	3.19	"kgCO_2e/kg"				
727	5075913	"FE"	24.4	"MJ/kg"				
728	5208399	"EC"	0.74	"kgCO_2/kg"			292	
729	5208399	"ECe"	0.78	"kgCO_2e/kg"			292	
730	5328146	"EE"	69.4	"MJ/kg"				
731	5328146	"EC"	2.57	"kgCO_2/kg"				
732	5328146	"ECe"	3.16	"kgCO_2e/kg"				
733	5328146	"FE"	25.3	"MJ/kg"				
734	5899014	"EE"	115.1	"MJ/kg"				
735	5899014	"EC"	3.93	"kgCO_2/kg"				
736	5899014	"ECe"	4.49	"kgCO_2e/kg"				
737	5899014	"FE"	54	"MJ/kg"				
738	5899014	"EE"	95.1	"MJ/kg"				
739	5899014	"EC"	2.69	"kgCO_2/kg"				
740	5899014	"ECe"	3.3	"kgCO_2e/kg"				
741	5899014	"FE"	35.1	"MJ/kg"				
742	6937020	"EE"	6.2	"MJ/kg"				
743	6937020	"EC"	0.44	"kgCO_2/kg"				
744	6937020	"ECe"	0.46	"kgCO_2e/kg"				
745	7285275	"EE"	143	"MJ/kg"			38	
746	7285275	"EC"	6.78	"kgCO_2/kg"			38	
747	7285275	"ECe"		"kgCO_2e/kg"			38	
748	7347536	"EC"	132	"kgCO_2/m^2"				
749	7347536	"EC"	440	"kgCO_2/m^2"				
750	7347536	"EC"	99	"kgCO_2/m^2"				
751	7347536	"EC"	189	"kgCO_2/m^2"				
752	7347536	"EE"	2590	"MJ/m^2"				
753	7347536	"EE"	8640	"MJ/m^2"				
754	7347536	"EE"	1945	"MJ/m^2"				
755	7347536	"EE"	5660	"MJ/m^2"				
756	7347536	"EC"	242	"kgCO_2/m^2"				
757	7347536	"EE"	4750	"MJ/m^2"				
758	7777401	"EE"	24.8	"MJ/kg"				
759	7777401	"EC"	1.29	"kgCO_2/kg"				
760	7777401	"ECe"		"kgCO_2e/kg"				
761	8357084	"EE"	7	"MJ/kg"				
762	8357084	"EC"	0.48	"kgCO_2/kg"				
763	8357084	"ECe"	0.5	"kgCO_2e/kg"				
764	8428816	"EE"	159	"MJ/kg"	"World"			
765	8428816	"EE"	226	"MJ/kg"	"World"			
766	8428816	"EE"	25	"MJ/kg"	"World"			
767	8428816	"EC"	8.28	"kgCO_2/kg"	"World"			
768	8428816	"EC"	11.7	"kgCO_2/kg"	"World"			
769	8428816	"EC"	1.35	"kgCO_2/kg"	"World"			
770	8428816	"ECe"	9.22	"kgCO2e/kg"	"World"			
771	8428816	"ECe"	13.1	"kgCO2e/kg"	"World"			
772	8428816	"ECe"	1.45	"kgCO2e/kg"	"World"			
773	8593733	"EC"	1.04	"kgCO_2/kg"				
774	8593733	"EC"	2.95	"kgCO_2/kg"				
775	8593733	"ECe"		"kgCO_2e/kg"				
776	8593733	"ECe"		"kgCO_2e/kg"				
777	8593733	"EE"	19.2	"MJ/kg"				
778	8593733	"EE"	54.7	"MJ/kg"				
779	8677119	"EE"	86.4	"MJ/kg"				
780	8677119	"EC"	2.71	"kgCO_2/kg"				
781	8677119	"ECe"	3.43	"kgCO_2e/kg"				
782	8677119	"FE"	46.3	"MJ/kg"				
783	8841044	"EE"	89.3	"MJ/kg"				
784	8841044	"EC"	2.13	"kgCO_2/kg"				
785	8841044	"ECe"	2.6	"kgCO_2e/kg"				
786	8841044	"FE"	38.6	"MJ/kg"				
787	9238751	"EE"	29	"MJ/kg"				
788	9238751	"EC"	1.51	"kgCO_2/kg"				
789	9238751	"ECe"	1.61	"kgCO_2e/kg"				
790	9269180	"EC"	208	"kgCO_2/m^2"				
791	9269180	"EE"	4070	"MJ/m^2"				
792	10402902	"EE"	1.4	"MJ/kg"			1	
793	10402902	"EC"	0.12	"kgCO_2/kg"			1	
794	10402902	"ECe"		"kgCO_2e/kg"			1	
795	13609210	"EE"	154	"MJ/kg"	"World"			
796	13609210	"EE"	214	"MJ/kg"	"World"			
797	13609210	"EE"	34	"MJ/kg"	"World"			
798	13609210	"EC"	8.16	"kgCO_2/kg"	"World"			
799	13609210	"EC"	11.2	"kgCO_2/kg"	"World"			
800	13609210	"EC"	1.98	"kgCO_2/kg"	"World"			
801	13609210	"ECe"	9.08	"kgCO2e/kg"	"World"			
802	13609210	"ECe"	12.5	"kgCO2e/kg"	"World"			
803	13609210	"ECe"	2.12	"kgCO2e/kg"	"World"			
804	13657588	"EE"	10.8	"MJ/kg"			55	
805	13657588	"EC"		"kgCO_2/kg"			55	
806	13657588	"ECe"		"kgCO_2e/kg"			55	
807	14246682	"EE"	17.4	"MJ/kg"	"European Union"			
808	14246682	"EE"	29.2	"MJ/kg"	"European Union"			
809	14246682	"EE"	8.8	"MJ/kg"	"European Union"			
810	14246682	"EE"	22.3	"MJ/kg"	"Non-EU"			
811	14246682	"EE"	21.6	"MJ/kg"	"World"			
812	14246682	"EC"	1.31	"kgCO_2/kg"	"European Union"			
813	14246682	"EC"	2.59	"kgCO_2/kg"	"European Union"			
814	14246682	"EC"	0.42	"kgCO_2/kg"	"European Union"			
815	14246682	"EC"	1.82	"kgCO_2/kg"	"Non-EU"			
816	14246682	"EC"	1.74	"kgCO_2/kg"	"World"			
817	14246682	"ECe"	1.4	"kgCO2e/kg"	"European Union"			
818	14246682	"ECe"	2.77	"kgCO2e/kg"	"European Union"			
819	14246682	"ECe"	0.45	"kgCO2e/kg"	"European Union"			
820	14246682	"ECe"	1.95	"kgCO2e/kg"	"Non-EU"			
821	14246682	"ECe"	1.86	"kgCO2e/kg"	"World"			
822	14549468	"EE"	37	"MJ/kg"			1	
823	14549468	"EC"	2.7	"kgCO_2/kg"			1	
824	14549468	"ECe"		"kgCO_2e/kg"			1	
825	14674534	"EE"	20	"MJ/kg"			205	
826	14674534	"EC"	0.98	"kgCO_2/kg"			205	
827	14674534	"ECe"		"kgCO_2e/kg"			205	
828	15149231	"EE"	2	"MJ/kg"			55	
829	15149231	"EC"	0.13	"kgCO_2/kg"			55	
830	15149231	"ECe"		"kgCO_2e/kg"			55	
831	15376772	"EE"	7.9	"MJ/kg"				
832	15376772	"EC"	0.52	"kgCO_2/kg"				
833	15376772	"ECe"	0.55	"kgCO_2e/kg"				
834	15657231	"EC"	1.07	"kgCO_2/kg"			1	
835	15657231	"ECe"	1.14	"kgCO_2e/kg"			1	
836	15787706	"EE"	11.3	"MJ/kg"			70	
837	15787706	"EC"	0.3	"kgCO_2/kg"			70	
838	15787706	"ECe"		"kgCO_2e/kg"			70	
839	15923026	"EE"	7	"MJ/kg"				
840	15923026	"EC"	0.48	"kgCO_2/kg"				
841	15923026	"ECe"	0.5	"kgCO_2e/kg"				
842	16029384	"EE"	12	"MJ/kg"			292	
843	16068335	"EE"	87.4	"MJ/kg"				
844	16068335	"EC"	2.76	"kgCO_2/kg"				
845	16068335	"ECe"	3.42	"kgCO_2e/kg"				
846	16068335	"FE"	46.4	"MJ/kg"				
847	16709188	"EC"	0.192	"kgCO_2/kg"			40	
848	16709188	"ECe"	0.21	"kgCO_2e/kg"			40	
849	16709188	"EE"	3.33	"MJ/kg"			40	
850	16825048	"EE"	20.9	"MJ/kg"			201	
851	16825048	"EC"		"kgCO_2/kg"			202	
852	16825048	"ECe"		"kgCO_2e/kg"			281	
853	17156036	"EC"	67	"kgCO_2/m^2"				
854	17156036	"EC"	40	"kgCO_2/m^2"				
855	17156036	"EC"	92	"kgCO_2/m^2"				
856	17156036	"EE"	1305	"MJ/m^2"				
857	17156036	"EE"	775	"MJ/m^2"				
858	17156036	"EE"	1805	"MJ/m^2"				
859	17255893	"EE"	102.1	"MJ/kg"				
860	17255893	"EC"	4.06	"kgCO_2/kg"				
861	17255893	"ECe"	4.84	"kgCO_2e/kg"				
862	17255893	"FE"	33.47	"MJ/kg"				
